MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
SAN PEDRO DE CARTAGO;MARTIN;ARROYO MARTIN;236;2023-09-19;1.530288;-77.090747;
SANDONA;SANTA ROSA CENTRO;AGUA VIVA;303;2023-12-04;1.272906;-77.431257;
SANDONA;ALTO INGENIO;MANANTIAL EL MOTILON;312;2023-12-05;1.279859;-77.441855;
SANDONA;ALTO INGENIO;MANANTIAL LA CEBA;306;2023-12-05;1.277242;-77.445097;
SANDONA;SANTA ROSA ALTO;MANANTIAL LA BOCATOMA;313;2023-12-06;1.2859;-77.439583;
SANDONA;SAN FERNANDO;AGUADA SAN FERNANDO;308;2023-12-05;1.258172;-77.474908;
SANDONA;SAN ISIDRO;CAÑADA EL GUARANGO;322;2023-12-11;1.271364;-77.465753;https://drive.google.com/file/d/1gix1I1U4oU00m4s34urrgLgzy8UcZRo5/view?usp=sharing
SANDONA;SANTA ROSA ALTO;MANANTIAL EL JOSELITO;309;2023-12-05;1.287422;-77.437433;
SANDONA;ALTO INGENIO;CAÑADA EL CARMELO;310;2023-12-05;1.301903;-77.458892;
SANDONA;SAN MIGUEL;MANANTIAL LAS ACACIAS;360;2023-12-29;1.264403;-77.46147;
SANDONA;SAN MIGUEL;RIO INGENIO;373;2023-12-29;1.283575;-77.484406;
SANTA BARBARA DE ISCUANDE;CABECERA MUNICIPAL;PAZMIÑO;110;2023-06-02;2.449092;-77.980464;
SANTACRUZ;CANDAGAN;KINDISKAS;82;2023-05-03;1.204417;-77.668361;
SANTACRUZ;EL HATO;Q EL HABRA;344;2023-12-19;1.517258;-77.247911;
SANTACRUZ;MANCHAG;LA CUCHILLA;346;19/20/2023;1.257747;-77.662125;
SAPUYES;MARAMBA BAJO;LA CARBONERA;59;2023-04-14;1.021306;-77.614647;
SAPUYES;MARAMBA BAJO;CUARRIS;65;2023-04-18;1.021306;-77.614647;
SAPUYES;LA COMUNIDAD;ALTO PREDIO;72;2023-04-24;1.017914;-77.651561;
SAPUYES;MARAMBA;CARBUNCO;101;2023-05-15;1.005;-77.612;https://drive.google.com/file/d/17zRQMoh2J_K9M20-kPfMd8CMq5jmpF4z/view?usp=sharing
SAPUYES;PANAMA;CARRISO;173;2023-08-02;1.035287;-77.72337;
TABLON DE GOMEZ;LLANO LARGO;EL MOTILON;87;2023-05-04;1.403258;-77.045692;
